Date,,Day of Week (Sunday = 0),Total Lines Changed,Files Changed,Insertions,Deletions,Difference,Lines Changed Percentile,Files Changed Percentile,Insertions Percentile,Deletions Percentile,ActivityLog Count,ActionLog Distinct User Count,EventLog Count,EventLog Distinct User Count
1/22/2012,196,0,3410,73,1715,1695,20,0.81,0.713,0.772,0.845,5840,567,86484,505
1/23/2012,197,1,7045,209,4550,2495,2055,0.934,0.905,0.938,0.902,17287,1123,160627,945
1/24/2012,198,2,243,36,206,37,169,0.179,0.413,0.242,0.143,18332,1211,178831,1029
1/25/2012,199,3,5544,33,5323,221,5102,0.892,0.39,0.957,0.464,24226,4745,194774,1236
1/26/2012,200,4,6468,59,940,287,653,0.924,0.632,0.637,0.527,20404,2926,182093,2780
1/27/2012,201,5,153,39,306,5374,-5068,0.124,0.466,0.348,0.97,17514,776,187921,682
1/28/2012,202,6,54,8,50,4,46,0.063,0.103,0.086,0.029,8330,1816,140225,1761
1/29/2012,203,0,93,12,70,23,47,0.092,0.139,0.111,0.099,10234,2028,200080,1969
1/30/2012,204,1,5850,52,5601,249,5352,0.9,0.575,0.959,0.493,28070,5342,231196,5235
1/31/2012,205,2,7548,94,1846,5702,-3856,0.94,0.784,0.791,0.972,22101,2877,223215,2794
2/1/2012,206,3,319,21,225,96,129,0.238,0.227,0.257,0.282,34992,6213,264110,5705
2/2/2012,207,4,964,52,820,142,678,0.493,0.575,0.59,0.352,22355,2227,244852,2107
2/3/2012,208,5,26,6,11,15,-4,0.042,0.071,0.044,0.071,24261,2463,197382,2364
2/4/2012,209,6,,,,,,,,,,10161,2202,161879,2142
2/5/2012,210,0,429,29,251,178,73,0.303,0.335,0.289,0.402,7382,330,168254,237
2/6/2012,211,1,349,37,284,65,219,0.267,0.438,0.322,0.217,22455,812,242866,565
2/7/2012,212,2,446,64,6488,133,6355,0.316,0.656,0.968,0.337,31758,4753,276358,4607
2/8/2012,213,3,7602,79,934,623,311,0.943,0.736,0.63,0.687,29085,4809,261546,4695
2/9/2012,214,4,6493,54,155,6338,-6183,0.926,0.597,0.179,0.976,27541,3412,224990,3296
2/10/2012,215,5,6456,47,6373,83,6290,0.919,0.533,0.966,0.242,26646,1166,201515,1072
